package_id,utterance_id,status,review_priority,original,normalised,translations,cluster_id,cluster_label,category,standing,support,glosses,concept_candidates,no_match_votes,risk_flags,reviewer_id,reviewer_role,blind_translation,blind_interpretation,translation_decision,final_translation,interpretation_decision,clinical_status,context_confirmed,concept_decision,concept_id,predicate_id,negative_assertion,confidence,justification
MRP-PILOT-P03-pilot-dryrun,PILOT-P03,awaiting_review,high,"Nina mawazo mengi, siwezi kufanya kazi.","Nina mawazo mengi, siwezi kufanya kazi.","T1: I am thinking too much; I can't work. | T2: I have a lot on my mind, I can't work. | T3: I am worrying a lot and cannot work.",C3,life stressors,social_or_relational,minority,1/3,"Preoccupation with social or economic problems (money, family, work).",(none retrieved),"sim-model-A,sim-model-B,sim-model-C","cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P03-pilot-dryrun,PILOT-P03,awaiting_review,high,"Nina mawazo mengi, siwezi kufanya kazi.","Nina mawazo mengi, siwezi kufanya kazi.","T1: I am thinking too much; I can't work. | T2: I have a lot on my mind, I can't work. | T3: I am worrying a lot and cannot work.",C4,rumination,clinical_symptom,minority,1/3,Repetitive negative thinking.,"SCTID:LOOKUP-rumination <lookup: rumination> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P03-pilot-dryrun,PILOT-P03,awaiting_review,high,"Nina mawazo mengi, siwezi kufanya kazi.","Nina mawazo mengi, siwezi kufanya kazi.","T1: I am thinking too much; I can't work. | T2: I have a lot on my mind, I can't work. | T3: I am worrying a lot and cannot work.",C5,functional impairment,clinical_symptom,minority,1/3,Unable to work because of the thoughts.,"SCTID:LOOKUP-difficulty-performing-work <lookup: difficulty performing work> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,sense_divergence,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P04-pilot-dryrun,PILOT-P04,awaiting_review,high,Mawazo yananichoma kichwa usiku.,Mawazo yananichoma kichwa usiku.,"T1: At night my thoughts burn in my head. | T2: At night, thoughts make my head burn. | T3: At night I get headaches from thinking.",C1,thinking too much,cognitive_process,unanimous,3/3,Troubling thoughts experienced as heat or burning in the head. || Thinking too much at night. || Excessive thinking.,"SCTID:LOOKUP-worrying <lookup: worrying> [skos:broadMatch,skos:exactMatch] ; SCTID:LOOKUP-rumination <lookup: rumination> [skos:broadMatch,skos:exactMatch]",sim-model-A,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P04-pilot-dryrun,PILOT-P04,awaiting_review,high,Mawazo yananichoma kichwa usiku.,Mawazo yananichoma kichwa usiku.,"T1: At night my thoughts burn in my head. | T2: At night, thoughts make my head burn. | T3: At night I get headaches from thinking.",C2,burning head sensation,somatic_experience,minority,1/3,A bodily burning or heat sensation in the head.,"SCTID:LOOKUP-burning-sensation-of-head <lookup: burning sensation of head> [skos:broadMatch,skos:exactMatch]",sim-model-A,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P04-pilot-dryrun,PILOT-P04,awaiting_review,high,Mawazo yananichoma kichwa usiku.,Mawazo yananichoma kichwa usiku.,"T1: At night my thoughts burn in my head. | T2: At night, thoughts make my head burn. | T3: At night I get headaches from thinking.",C3,night-time intrusive thoughts,cognitive_process,minority,1/3,Unwanted thoughts that keep coming at night.,"SCTID:LOOKUP-intrusive-thoughts <lookup: intrusive thoughts> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P04-pilot-dryrun,PILOT-P04,awaiting_review,high,Mawazo yananichoma kichwa usiku.,Mawazo yananichoma kichwa usiku.,"T1: At night my thoughts burn in my head. | T2: At night, thoughts make my head burn. | T3: At night I get headaches from thinking.",C4,headache,clinical_symptom,minority,1/3,Headache caused by thinking.,"SCTID:LOOKUP-headache <lookup: headache> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P05-pilot-dryrun,PILOT-P05,awaiting_review,high,"Nimelogwa, ndiyo maana siwezi kulala.","Nimerogwa, ndiyo maana siwezi kulala.","T1: I have been bewitched; that is why I can't sleep. | T2: I've been bewitched, that's why I cannot sleep. | T3: I've been cursed, that's why I can't sleep.",C1,bewitchment explanation,spiritual_or_supernatural,unanimous,3/3,The speaker attributes their problem to witchcraft; a culturally shared explanation of misfortune. || Attributing distress to bewitchment. || Belief in being bewitched.,(none retrieved),"sim-model-A,sim-model-B,sim-model-C","minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P05-pilot-dryrun,PILOT-P05,awaiting_review,high,"Nimelogwa, ndiyo maana siwezi kulala.","Nimerogwa, ndiyo maana siwezi kulala.","T1: I have been bewitched; that is why I can't sleep. | T2: I've been bewitched, that's why I cannot sleep. | T3: I've been cursed, that's why I can't sleep.",C2,sleep difficulty,somatic_experience,minority,1/3,Difficulty sleeping.,"SCTID:LOOKUP-difficulty-sleeping <lookup: difficulty sleeping> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P05-pilot-dryrun,PILOT-P05,awaiting_review,high,"Nimelogwa, ndiyo maana siwezi kulala.","Nimerogwa, ndiyo maana siwezi kulala.","T1: I have been bewitched; that is why I can't sleep. | T2: I've been bewitched, that's why I cannot sleep. | T3: I've been cursed, that's why I can't sleep.",C3,interpersonal conflict,social_or_relational,minority,1/3,Witchcraft accusations can signal conflict or suspicion within family or community.,"SCTID:LOOKUP-interpersonal-relationship-problem <lookup: interpersonal relationship problem> [skos:relatedMatch,skos:exactMatch]",sim-model-A,"minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P05-pilot-dryrun,PILOT-P05,awaiting_review,high,"Nimelogwa, ndiyo maana siwezi kulala.","Nimerogwa, ndiyo maana siwezi kulala.","T1: I have been bewitched; that is why I can't sleep. | T2: I've been bewitched, that's why I cannot sleep. | T3: I've been cursed, that's why I can't sleep.",C4,persecutory belief,clinical_symptom,minority,1/3,A belief of being harmed by others that could be clinically relevant if fixed and out of keeping with local norms.,"SCTID:LOOKUP-persecutory-delusion <lookup: persecutory delusion> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday",,,,,,,,,,,,,,,
MRP-PILOT-P06-pilot-dryrun,PILOT-P06,awaiting_review,high,"Niko na stress mob, siwezi lala.","Niko na stress mob, siwezi kulala.","T1: I'm really stressed, I can't sleep. | T2: I'm very stressed and can't sleep. | T3: I'm so stressed, I can't sleep.",C1,stress,emotional_state,unanimous,3/3,Feeling under heavy pressure or strain. || Feeling under heavy pressure or strain. || Feeling under heavy pressure or strain.,"SCTID:LOOKUP-feeling-stressed <lookup: feeling stressed> [skos:broadMatch,skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-stress-related-emotion <lookup: stress-related emotion> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"cultural_term_lost_in_back_translation,full_agreement_audit_candidate,multiple_components_in_utterance,placeholder_ids_not_verified",,,,,,,,,,,,,,,
MRP-PILOT-P06-pilot-dryrun,PILOT-P06,awaiting_review,high,"Niko na stress mob, siwezi lala.","Niko na stress mob, siwezi kulala.","T1: I'm really stressed, I can't sleep. | T2: I'm very stressed and can't sleep. | T3: I'm so stressed, I can't sleep.",C2,sleep difficulty,somatic_experience,unanimous,3/3,Difficulty sleeping. || Difficulty sleeping. || Difficulty sleeping.,"SCTID:LOOKUP-difficulty-sleeping <lookup: difficulty sleeping> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"cultural_term_lost_in_back_translation,full_agreement_audit_candidate,multiple_components_in_utterance,placeholder_ids_not_verified",,,,,,,,,,,,,,,
MRP-PILOT-P07-pilot-dryrun,PILOT-P07,awaiting_review,high,Sina raha siku hizi.,Sina raha siku hizi.,T1: I have no joy these days. | T2: I am not happy these days. | T3: I have no peace these days.,C1,low mood,emotional_state,majority,2/3,Persistently low or unhappy mood. || Feeling unhappy.,"SCTID:LOOKUP-low-mood <lookup: low mood> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-sadness <lookup: sadness> [skos:broadMatch,skos:exactMatch]",sim-model-A,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P07-pilot-dryrun,PILOT-P07,awaiting_review,high,Sina raha siku hizi.,Sina raha siku hizi.,T1: I have no joy these days. | T2: I am not happy these days. | T3: I have no peace these days.,C2,loss of pleasure,clinical_symptom,minority,1/3,Not finding pleasure in things.,"SCTID:LOOKUP-anhedonia <lookup: anhedonia> [skos:broadMatch,skos:broadMatch,skos:exactMatch]",,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P07-pilot-dryrun,PILOT-P07,awaiting_review,high,Sina raha siku hizi.,Sina raha siku hizi.,T1: I have no joy these days. | T2: I am not happy these days. | T3: I have no peace these days.,C3,lack of peace,emotional_state,minority,1/3,No inner peace or ease; feeling unsettled.,"SCTID:LOOKUP-feeling-restless <lookup: feeling restless> [skos:broadMatch,skos:exactMatch]",sim-model-A,"cultural_term_lost_in_back_translation,minority_clinical_reading,over_medicalisation_risk,placeholder_ids_not_verified,possible_semantic_gap,register_divergence_clinical_vs_everyday,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P08-pilot-dryrun,PILOT-P08,blocked_pending_safety_escalation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRP-PILOT-P09-pilot-dryrun,PILOT-P09,awaiting_review,high,Siku hizi sina mawazo mengi kama zamani.,Siku hizi sina mawazo mengi kama zamani.,T1: These days I don't think too much like I used to. | T2: Nowadays I don't have as much on my mind as before. | T3: These days I don't worry as much as I did.,C1,thinking too much,cognitive_process,majority,2/3,"The 'thinking too much' idiom, reported as ABSENT or reduced now. || Reports improvement: no longer thinking too much.","SCTID:LOOKUP-worrying <lookup: worrying> [skos:broadMatch,skos:exactMatch] ; SCTID:LOOKUP-rumination <lookup: rumination> [skos:broadMatch,skos:exactMatch]",sim-model-A,"back_translation_mismatch,cultural_term_lost_in_back_translation,placeholder_ids_not_verified,polarity_negated,possible_semantic_gap,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P09-pilot-dryrun,PILOT-P09,awaiting_review,high,Siku hizi sina mawazo mengi kama zamani.,Siku hizi sina mawazo mengi kama zamani.,T1: These days I don't think too much like I used to. | T2: Nowadays I don't have as much on my mind as before. | T3: These days I don't worry as much as I did.,C2,worry,emotional_state,minority,1/3,Worry reduced compared with before.,"SCTID:LOOKUP-worrying <lookup: worrying> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-anxiety <lookup: anxiety> [skos:broadMatch,skos:exactMatch]",sim-model-A,"back_translation_mismatch,cultural_term_lost_in_back_translation,placeholder_ids_not_verified,polarity_negated,possible_semantic_gap,translation_divergence",,,,,,,,,,,,,,,
MRP-PILOT-P10-pilot-dryrun,PILOT-P10,awaiting_review,high,Mama yangu hana raha tangu baba afariki.,Mama yangu hana raha tangu baba afariki.,T1: My mother has had no joy since father died. | T2: My mother has been unhappy since my father passed away. | T3: My mother has had no peace since father died.,C2,grief,emotional_state,majority,2/3,The mother's grief after her husband's death. || Bereavement reaction in the mother.,"SCTID:LOOKUP-grief <lookup: grief> [skos:broadMatch,skos:exactMatch] ; SCTID:LOOKUP-bereavement-finding <lookup: bereavement finding> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-grief-related-emotion <lookup: grief-related emotion> [skos:broadMatch,skos:exactMatch]",sim-model-A,"experiencer_not_speaker,placeholder_ids_not_verified,possible_semantic_gap",,,,,,,,,,,,,,,
MRP-PILOT-P10-pilot-dryrun,PILOT-P10,awaiting_review,high,Mama yangu hana raha tangu baba afariki.,Mama yangu hana raha tangu baba afariki.,T1: My mother has had no joy since father died. | T2: My mother has been unhappy since my father passed away. | T3: My mother has had no peace since father died.,C1,low mood,emotional_state,minority,1/3,The MOTHER (not the speaker) has been unhappy.,"SCTID:LOOKUP-low-mood <lookup: low mood> [skos:broadMatch,skos:exactMatch] ; MFOEM:LOOKUP-sadness <lookup: sadness> [skos:broadMatch,skos:exactMatch]",sim-model-A,"experiencer_not_speaker,placeholder_ids_not_verified,possible_semantic_gap",,,,,,,,,,,,,,,
MRP-PILOT-P10-pilot-dryrun,PILOT-P10,awaiting_review,high,Mama yangu hana raha tangu baba afariki.,Mama yangu hana raha tangu baba afariki.,T1: My mother has had no joy since father died. | T2: My mother has been unhappy since my father passed away. | T3: My mother has had no peace since father died.,C3,lack of peace,emotional_state,minority,1/3,"The mother is unsettled, without peace.","SCTID:LOOKUP-feeling-restless <lookup: feeling restless> [skos:broadMatch,skos:exactMatch]",sim-model-A,"experiencer_not_speaker,placeholder_ids_not_verified,possible_semantic_gap",,,,,,,,,,,,,,,
