term,translation,context,language,confidence,winning_model,consensus,version,code,url
Thunderstorm,Grom,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",bs,0.92,gemma3:27b,No consensus,0.1,,
Thunderstorm,雷雨,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",ch,0.9,gemma3:27b,No consensus,0.1,,
Avalanche,avalanche,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,fr,0.99,gpt-oss:latest,No consensus,0.1,,
Avalanche,avalancha,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,es,0.99,gpt-oss:latest,No consensus,0.1,,
Avalanche,Lawine,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,de,0.99,gpt-oss:latest,No consensus,0.1,,
Avalanche,lumivyöry,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,fi,0.98,gpt-oss:latest,No consensus,0.1,,
Avalanche,аваланч,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,ru,0.97,gpt-oss:latest,No consensus,0.1,,
Avalanche,аваланч,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,ua,0.97,gpt-oss:latest,No consensus,0.1,,
Avalanche,avalanche,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,it,0.99,gpt-oss:latest,No consensus,0.1,,
Avalanche,avalanche,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,pt,0.99,gpt-oss:latest,No consensus,0.1,,
Avalanche,avalancha,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,bs,0.95,gpt-oss:latest,No consensus,0.1,,
Avalanche,雪崩,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,ch,0.99,gpt-oss:latest,No consensus,0.1,,
Avalanche,avalanche,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,fr,0.99,gemma3:27b,No consensus,0.1,,
Avalanche,avalancha,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,es,0.98,gemma3:27b,No consensus,0.1,,
Avalanche,Lawine,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,de,0.97,gemma3:27b,No consensus,0.1,,
Avalanche,lumivyöry,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,fi,0.96,gemma3:27b,No consensus,0.1,,
Avalanche,лавина,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,ru,0.99,gemma3:27b,No consensus,0.1,,
Avalanche,лавина,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,ua,0.98,gemma3:27b,No consensus,0.1,,
Avalanche,valanga,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,it,0.97,gemma3:27b,No consensus,0.1,,
Avalanche,avalancha,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,pt,0.98,gemma3:27b,No consensus,0.1,,
Avalanche,lavina,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,bs,0.97,gemma3:27b,No consensus,0.1,,
Avalanche,雪崩,An avalanche is a rapid flow of snow down a hill or mountainside (NSIDC,ch,0.95,gemma3:27b,No consensus,0.1,,
Blizzard,tempête de neige, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,fr,0.98,gpt-oss:latest,No consensus,0.1,,
Blizzard,nevada, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,es,0.98,gpt-oss:latest,No consensus,0.1,,
Blizzard,Schneesturm, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,de,0.97,gpt-oss:latest,No consensus,0.1,,
Blizzard,lumimyrsky, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,fi,0.96,gpt-oss:latest,No consensus,0.1,,
Blizzard,снежная буря, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,ru,0.97,gpt-oss:latest,No consensus,0.1,,
Blizzard,сніжна буря, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,ua,0.97,gpt-oss:latest,No consensus,0.1,,
Blizzard,nevicata, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,it,0.96,gpt-oss:latest,No consensus,0.1,,
Blizzard,nevada, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,pt,0.97,gpt-oss:latest,No consensus,0.1,,
Blizzard,snijegova oluja, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,bs,0.96,gpt-oss:latest,No consensus,0.1,,
Blizzard,暴风雪, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,ch,0.98,gpt-oss:latest,No consensus,0.1,,
Blizzard,tempête de neige, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,fr,0.95,gemma3:27b,No consensus,0.1,,
Blizzard,tormenta de nieve, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,es,0.98,gemma3:27b,No consensus,0.1,,
Blizzard,Schneesturm, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,de,0.97,gemma3:27b,No consensus,0.1,,
Blizzard,lumimyrsky, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,fi,0.92,gemma3:27b,No consensus,0.1,,
Blizzard,метель, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,ru,0.96,gemma3:27b,No consensus,0.1,,
Blizzard,сніжна буря, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,ua,0.94,gemma3:27b,No consensus,0.1,,
Blizzard,tempesta di neve, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,it,0.97,gemma3:27b,No consensus,0.1,,
Blizzard,tempestade de neve, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,pt,0.96,gemma3:27b,No consensus,0.1,,
Blizzard,snježna oluja, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,bs,0.93,gemma3:27b,No consensus,0.1,,
Blizzard,暴雪, The term blizzard is generally used in North America and Great Britain. There are differing thresholds for defining and issuing warnings for blizzards.,ch,0.9,gemma3:27b,No consensus,0.1,,
Eagles song,chanson des Eagles,Song of the US band Eagles ,fr,0.97,gpt-oss:latest,No consensus,0.1,,
Eagles song,canción de Eagles,Song of the US band Eagles ,es,0.97,gpt-oss:latest,No consensus,0.1,,
Eagles song,Song der Eagles,Song of the US band Eagles ,de,0.96,gpt-oss:latest,No consensus,0.1,,
Eagles song,Eaglesin laulu,Song of the US band Eagles ,fi,0.95,gpt-oss:latest,No consensus,0.1,,
Eagles song,песня Eagles,Song of the US band Eagles ,ru,0.97,gpt-oss:latest,No consensus,0.1,,
Eagles song,пісня Eagles,Song of the US band Eagles ,ua,0.97,gpt-oss:latest,No consensus,0.1,,
Eagles song,canzone degli Eagles,Song of the US band Eagles ,it,0.96,gpt-oss:latest,No consensus,0.1,,
Eagles song,canção dos Eagles,Song of the US band Eagles ,pt,0.96,gpt-oss:latest,No consensus,0.1,,
Eagles song,pjesma Eagles,Song of the US band Eagles ,bs,0.95,gpt-oss:latest,No consensus,0.1,,
Eagles song,Eagles的歌曲,Song of the US band Eagles ,ch,0.95,gpt-oss:latest,No consensus,0.1,,
Eagles song,Chanson du groupe Eagles,Song of the US band Eagles ,fr,0.99,gemma3:27b,No consensus,0.1,,
Eagles song,Canción de la banda Eagles,Song of the US band Eagles ,es,0.99,gemma3:27b,No consensus,0.1,,
Eagles song,Lied der Band Eagles,Song of the US band Eagles ,de,0.99,gemma3:27b,No consensus,0.1,,
Eagles song,Eagles-yhtyeen kappale,Song of the US band Eagles ,fi,0.95,gemma3:27b,No consensus,0.1,,
Eagles song,Песня группы Eagles,Song of the US band Eagles ,ru,0.99,gemma3:27b,No consensus,0.1,,
Eagles song,Пісня гурту Eagles,Song of the US band Eagles ,ua,0.98,gemma3:27b,No consensus,0.1,,
Eagles song,Canzone della band Eagles,Song of the US band Eagles ,it,0.99,gemma3:27b,No consensus,0.1,,
Eagles song,Canção da banda Eagles,Song of the US band Eagles ,pt,0.99,gemma3:27b,No consensus,0.1,,
Eagles song,Pjesma grupe Eagles,Song of the US band Eagles ,bs,0.98,gemma3:27b,No consensus,0.1,,
Eagles song,Chanson du groupe Eagles,Song of the US band Eagles ,ch,0.97,gemma3:27b,No consensus,0.1,,
Neural Network,Réseau neuronal,A computational model inspired by the structure of biological neural networks.,fr,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Red neuronal,A computational model inspired by the structure of biological neural networks.,es,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Neuronales Netzwerk,A computational model inspired by the structure of biological neural networks.,de,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,neuraaliverkko,A computational model inspired by the structure of biological neural networks.,fi,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Нейронная сеть,A computational model inspired by the structure of biological neural networks.,ru,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Нейронна мережа,A computational model inspired by the structure of biological neural networks.,ua,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Rete neurale,A computational model inspired by the structure of biological neural networks.,it,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Rede neural,A computational model inspired by the structure of biological neural networks.,pt,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Neuronska mreža,A computational model inspired by the structure of biological neural networks.,bs,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,神经网络,A computational model inspired by the structure of biological neural networks.,ch,0.99,gpt-oss:latest,No consensus,0.1,,
Neural Network,Réseau de neurones,A computational model inspired by the structure of biological neural networks.,fr,0.98,gemma3:27b,No consensus,0.1,,
Neural Network,Red neuronal,A computational model inspired by the structure of biological neural networks.,es,0.99,gemma3:27b,No consensus,0.1,,
Neural Network,Neuronales Netzwerk,A computational model inspired by the structure of biological neural networks.,de,0.97,gemma3:27b,No consensus,0.1,,
Neural Network,Neuroverkko,A computational model inspired by the structure of biological neural networks.,fi,0.96,gemma3:27b,No consensus,0.1,,
Neural Network,Нейронная сеть,A computational model inspired by the structure of biological neural networks.,ru,0.99,gemma3:27b,No consensus,0.1,,
Neural Network,Нейронна мережа,A computational model inspired by the structure of biological neural networks.,ua,0.98,gemma3:27b,No consensus,0.1,,
Neural Network,Rete neurale,A computational model inspired by the structure of biological neural networks.,it,0.97,gemma3:27b,No consensus,0.1,,
Neural Network,Rede neural,A computational model inspired by the structure of biological neural networks.,pt,0.98,gemma3:27b,No consensus,0.1,,
Neural Network,Neuralna mreža,A computational model inspired by the structure of biological neural networks.,bs,0.96,gemma3:27b,No consensus,0.1,,
Neural Network,神经网路,A computational model inspired by the structure of biological neural networks.,ch,0.95,gemma3:27b,No consensus,0.1,,
Supervised Learning,Apprentissage supervisé,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,fr,0.96,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,Aprendizaje supervisado,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,es,0.97,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,Überwachtes Lernen,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,de,0.95,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,valvottu oppiminen,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,fi,0.94,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,обучение с учителем,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,ru,0.96,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,навчання з учителем,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,ua,0.95,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,Apprendimento supervisionato,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,it,0.96,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,Aprendizado supervisionado,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,pt,0.95,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,Supervizirano učenje,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,bs,0.94,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,监督学习,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,ch,0.96,gpt-oss:latest,No consensus,0.1,,
Supervised Learning,Apprentissage supervisé,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,fr,0.99,gemma3:27b,No consensus,0.1,,
Supervised Learning,Aprendizaje supervisado,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,es,0.99,gemma3:27b,No consensus,0.1,,
Supervised Learning,Überwachtes Lernen,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,de,0.98,gemma3:27b,No consensus,0.1,,
Supervised Learning,Ohjattu oppiminen,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,fi,0.97,gemma3:27b,No consensus,0.1,,
Supervised Learning,Обучение с учителем,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,ru,0.99,gemma3:27b,No consensus,0.1,,
Supervised Learning,Навчання з учителем,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,ua,0.98,gemma3:27b,No consensus,0.1,,
Supervised Learning,Apprendimento supervisionato,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,it,0.99,gemma3:27b,No consensus,0.1,,
Supervised Learning,Aprendizagem supervisionada,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,pt,0.99,gemma3:27b,No consensus,0.1,,
Supervised Learning,Nadgledano učenje,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,bs,0.95,gemma3:27b,No consensus,0.1,,
Supervised Learning,监督学习,The machine learning task of learning a function that maps an input to an output based on example input-output pairs.,ch,0.97,gemma3:27b,No consensus,0.1,,
Backpropagation,Rétropropagation,A widely used algorithm in training feedforward neural networks for supervised learning.,fr,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,retropropagación,A widely used algorithm in training feedforward neural networks for supervised learning.,es,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,Backpropagation,A widely used algorithm in training feedforward neural networks for supervised learning.,de,0.98,gpt-oss:latest,No consensus,0.1,,
Backpropagation,takaisinkytkentä,A widely used algorithm in training feedforward neural networks for supervised learning.,fi,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,обратное распространение,A widely used algorithm in training feedforward neural networks for supervised learning.,ru,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,зворотній поширення,A widely used algorithm in training feedforward neural networks for supervised learning.,ua,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,retropropagazione,A widely used algorithm in training feedforward neural networks for supervised learning.,it,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,retropropagação,A widely used algorithm in training feedforward neural networks for supervised learning.,pt,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,retropropagacija,A widely used algorithm in training feedforward neural networks for supervised learning.,bs,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,反向传播,A widely used algorithm in training feedforward neural networks for supervised learning.,ch,0.99,gpt-oss:latest,No consensus,0.1,,
Backpropagation,Rétropropagation,A widely used algorithm in training feedforward neural networks for supervised learning.,fr,0.97,gemma3:27b,No consensus,0.1,,
Backpropagation,Retropropagación,A widely used algorithm in training feedforward neural networks for supervised learning.,es,0.99,gemma3:27b,No consensus,0.1,,
Backpropagation,Backpropagation,A widely used algorithm in training feedforward neural networks for supervised learning.,de,0.95,gemma3:27b,No consensus,0.1,,
Backpropagation,Takaisinlevitys,A widely used algorithm in training feedforward neural networks for supervised learning.,fi,0.92,gemma3:27b,No consensus,0.1,,
Backpropagation,Обратное распространение,A widely used algorithm in training feedforward neural networks for supervised learning.,ru,0.96,gemma3:27b,No consensus,0.1,,
Backpropagation,Зворотне поширення,A widely used algorithm in training feedforward neural networks for supervised learning.,ua,0.93,gemma3:27b,No consensus,0.1,,
Backpropagation,Backpropagation,A widely used algorithm in training feedforward neural networks for supervised learning.,it,0.94,gemma3:27b,No consensus,0.1,,
Backpropagation,Retropropagação,A widely used algorithm in training feedforward neural networks for supervised learning.,pt,0.98,gemma3:27b,No consensus,0.1,,
Backpropagation,Povratno širenje,A widely used algorithm in training feedforward neural networks for supervised learning.,bs,0.9,gemma3:27b,No consensus,0.1,,
Backpropagation,反向传播,A widely used algorithm in training feedforward neural networks for supervised learning.,ch,0.97,gemma3:27b,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,fr,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,es,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,de,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,fi,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,ru,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,ua,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,it,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,pt,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,LSTM,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,bs,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,长短期记忆网络,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,ch,0.99,gpt-oss:latest,No consensus,0.1,,
LSTM,Mémoire Long Court-Terme,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,fr,0.95,gemma3:27b,No consensus,0.1,,
LSTM,Memoria a Largo Corto Plazo,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,es,0.98,gemma3:27b,No consensus,0.1,,
LSTM,Langzeit-Kurzzeitgedächtnis,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,de,0.92,gemma3:27b,No consensus,0.1,,
LSTM,Pitkä-lyhytkestomuisti,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,fi,0.88,gemma3:27b,No consensus,0.1,,
LSTM,Сети долгой краткосрочной памяти,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,ru,0.9,gemma3:27b,No consensus,0.1,,
LSTM,Мережі довгої короткострокової пам'яті,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,ua,0.87,gemma3:27b,No consensus,0.1,,
LSTM,Memoria a lungo breve termine,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,it,0.93,gemma3:27b,No consensus,0.1,,
LSTM,Memória Longo Curto Prazo,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,pt,0.94,gemma3:27b,No consensus,0.1,,
LSTM,Dugoročna kratkotrajna memorija,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,bs,0.85,gemma3:27b,No consensus,0.1,,
LSTM,长短期记忆网络,Long Short-Term Memory networks are a type of recurrent neural network capable of learning order dependence in sequence prediction problems.,ch,0.96,gemma3:27b,No consensus,0.1,,
Transformer,Transformeur,A deep learning model that adopts the mechanism of self-attention,fr,0.98,gpt-oss:latest,No consensus,0.1,,
Transformer,Transformador,A deep learning model that adopts the mechanism of self-attention,es,0.98,gpt-oss:latest,No consensus,0.1,,
Transformer,Transformer,A deep learning model that adopts the mechanism of self-attention,de,0.98,gpt-oss:latest,No consensus,0.1,,
